vendor_uuid,slug,business_name,top_level_category,subcategory,visual_vibe,key_services,primary_image_concept,target_webp_filename,destination_path
"30000000-0000-4000-8000-000000001447","silver-desserts-atelier-07","Treat Terrace Dessert Tables","Cakes & Desserts","Dessert Tables","Romantic terrace dessert brand with relaxed rustic elegance.","Individual portions | Dairy-free options | Styled table | Venue delivery","A sunset terrace table with flowing linen, individual dairy-free fruit tarts, and softly weathered silver serving trays.","silver-desserts-atelier-07-primary.webp","public/demo-marketplace/dessert-tables/silver-desserts-atelier-07-primary.webp"
"30000000-0000-4000-8000-000000001448","aster-desserts-collective-08","Confetti Spoon Celebration Desserts","Cakes & Desserts","Dessert Tables","Elegant Israeli celebration desserts with refined party character.","Custom menu | Vegan options | Mini desserts | Late-night service","A burgundy-and-ivory late-night spoon-dessert bar with a varied vegan assortment in polished miniature cups.","aster-desserts-collective-08-primary.webp","public/demo-marketplace/dessert-tables/aster-desserts-collective-08-primary.webp"
"30000000-0000-4000-8000-000000001449","amber-patisserie-works-01","Maison Sesame Wedding Pastry","Cakes & Desserts","Pastry & Patisserie","Minimalist romantic patisserie with sesame-led artisanal detail.","Dairy-free options | Mini tarts | Pastry tasting | French pastries","A pale patisserie counter with sesame-topped French tartlets, dairy-free mini tarts, and an open tasting box in soft morning light.","amber-patisserie-works-01-primary.webp","public/demo-marketplace/pastry-patisserie/amber-patisserie-works-01-primary.webp"
"30000000-0000-4000-8000-000000001450","silver-patisserie-and-co-02","Pastry House by Flour & Fig","Cakes & Desserts","Pastry & Patisserie","Classic luxury pastry house with a flour-dusted vintage mood.","Vegan options | Choux pastries | Venue delivery | Israeli pastries","Fig-filled choux and Israeli pastries on a flour-dusted vintage worktable, with elegant delivery boxes stacked behind them.","silver-patisserie-and-co-02-primary.webp","public/demo-marketplace/pastry-patisserie/silver-patisserie-and-co-02-primary.webp"
"30000000-0000-4000-8000-000000001451","aster-patisserie-workshop-03","Lev Patisserie","Cakes & Desserts","Pastry & Patisserie","Modern elegant Israeli patisserie with a polished kosher presentation.","Kosher service | Macarons | Dairy-free options | Mini tarts","A Jerusalem-limestone vitrine featuring a precise macaron tower and dairy-free mini tarts with understated kosher presentation.","aster-patisserie-workshop-03-primary.webp","public/demo-marketplace/pastry-patisserie/aster-patisserie-workshop-03-primary.webp"
"30000000-0000-4000-8000-000000001452","cypress-patisserie-atelier-04","Golden Rolling Pin Pastry Atelier","Cakes & Desserts","Pastry & Patisserie","Elegant working atelier centered on classic French craft.","French pastries | Seasonal fruit | Vegan options | Choux pastries","A golden rolling pin beside fruit-topped choux and French pastries being finished by hand on a refined atelier bench.","cypress-patisserie-atelier-04-primary.webp","public/demo-marketplace/pastry-patisserie/cypress-patisserie-atelier-04-primary.webp"
"30000000-0000-4000-8000-000000001453","honey-patisserie-collective-05","Meringue Lane Celebration Patisserie","Cakes & Desserts","Pastry & Patisserie","Romantic vintage patisserie with light, orderly confectionery styling.","Israeli pastries | Custom pastry selection | Kosher service | Macarons","A lane-like row of ivory meringues and macarons beneath vintage glass domes, accented by small custom pastry cards.","honey-patisserie-collective-05-primary.webp","public/demo-marketplace/pastry-patisserie/honey-patisserie-collective-05-primary.webp"
"30000000-0000-4000-8000-000000001454","canvas-patisserie-house-06","Citrus Crumb Patisserie","Cakes & Desserts","Pastry & Patisserie","Bright luxury patisserie with classic citrus and seasonal-fruit focus.","Mini tarts | Pastry tasting | French pastries | Seasonal fruit","Lemon-and-orange mini tarts with delicate choux on classic cake stands against a softly textured canvas backdrop.","canvas-patisserie-house-06-primary.webp","public/demo-marketplace/pastry-patisserie/canvas-patisserie-house-06-primary.webp"
"30000000-0000-4000-8000-000000001455","rimon-patisserie-project-07","Babka & Bloom Petit Desserts","Cakes & Desserts","Pastry & Patisserie","Classic Israeli bakery identity softened with floral wedding styling.","Choux pastries | Venue delivery | Israeli pastries | Custom pastry selection","Sliced chocolate babka and petite choux framed by white blossoms in a polished bakery-to-wedding delivery arrangement.","rimon-patisserie-project-07-primary.webp","public/demo-marketplace/pastry-patisserie/rimon-patisserie-project-07-primary.webp"
"30000000-0000-4000-8000-000000001456","sol-patisserie-studio-08","Poppy & Pin Pastry Studio","Cakes & Desserts","Pastry & Patisserie","Graphic modern pastry studio with crisp, minimalist geometry.","Macarons | Dairy-free options | Mini tarts | Pastry tasting","A precise grid of poppy-seed macarons and mini tarts, punctuated by tiny brass pastry pins on an ivory surface.","sol-patisserie-studio-08-primary.webp","public/demo-marketplace/pastry-patisserie/sol-patisserie-studio-08-primary.webp"
"30000000-0000-4000-8000-000000001457","canvas-confections-atelier-01","Bonbon Tel Aviv Celebration Sweets","Cakes & Desserts","Custom Sweets & Confectionery","Playful Israeli confectionery atelier with graphic party polish.","Custom colors | Nougat pralines | Vegan options | Custom candy","Geometric trays of burgundy and blush bonbons, vegan pralines, and custom candy on a clean Tel Aviv atelier counter.","canvas-confections-atelier-01-primary.webp","public/demo-marketplace/custom-sweets/canvas-confections-atelier-01-primary.webp"
"30000000-0000-4000-8000-000000001458","rimon-confections-collective-02","Confectionery by Marzipan Story","Cakes & Desserts","Custom Sweets & Confectionery","Romantic classic confectioner specializing in keepsake-like edible details.","Thank-you sweets | Edible place cards | Dairy-free options | Marzipan favors","Hand-shaped marzipan favors paired with edible calligraphy place cards in an ivory-and-burgundy wedding place setting.","rimon-confections-collective-02-primary.webp","public/demo-marketplace/custom-sweets/rimon-confections-collective-02-primary.webp"
"30000000-0000-4000-8000-000000001459","sol-confections-house-03","Sukar","Cakes & Desserts","Custom Sweets & Confectionery","Minimalist luxury chocolate house with jewel-box packaging.","Personalized chocolates | Branded packaging | Custom colors | Nougat pralines","Personalized chocolates and pralines arranged like jewelry inside restrained burgundy branded boxes on warm stone.","sol-confections-house-03-primary.webp","public/demo-marketplace/custom-sweets/sol-confections-house-03-primary.webp"
"30000000-0000-4000-8000-000000001460","tamar-confections-project-04","Praline Parcel Confection House","Cakes & Desserts","Custom Sweets & Confectionery","Modern small-batch confection house with thoughtful parcel presentation.","Custom candy | Small-batch production | Thank-you sweets | Edible place cards","Small-batch praline parcels being tied with ribbon beside edible name cards and neatly stacked thank-you sweets.","tamar-confections-project-04-primary.webp","public/demo-marketplace/custom-sweets/tamar-confections-project-04-primary.webp"
"30000000-0000-4000-8000-000000001461","indigo-confections-studio-05","Nougat Note Wedding Sweets","Cakes & Desserts","Custom Sweets & Confectionery","Romantic Israeli sweets studio with musical, personalized branding.","Marzipan favors | Venue delivery | Personalized chocolates | Branded packaging","Music-note-shaped nougat and chocolates in refined indigo-accented favor boxes, lined up for wedding delivery.","indigo-confections-studio-05-primary.webp","public/demo-marketplace/custom-sweets/indigo-confections-studio-05-primary.webp"
"30000000-0000-4000-8000-000000001462","willow-confections-works-06","Candy Ketubah Chocolate Studio","Cakes & Desserts","Custom Sweets & Confectionery","Vintage luxury chocolatier inspired by ceremonial paper craft.","Nougat pralines | Vegan options | Custom candy | Small-batch production","Ketubah-inspired chocolate tablets with delicate linework, surrounded by nougat pralines and edible place cards on velvet.","willow-confections-works-06-primary.webp","public/demo-marketplace/custom-sweets/willow-confections-works-06-primary.webp"
"30000000-0000-4000-8000-000000001463","kinneret-confections-and-co-07","Cocoa Keepsake Edible Favors","Cakes & Desserts","Custom Sweets & Confectionery","Vintage keepsake confectioner with quiet lakeside luxury.","Edible place cards | Dairy-free options | Marzipan favors | Venue delivery","Vintage keepsake boxes containing cocoa favors and marzipan seals, paired with edible guest-name cards on muted linen.","kinneret-confections-and-co-07-primary.webp","public/demo-marketplace/custom-sweets/kinneret-confections-and-co-07-primary.webp"
"30000000-0000-4000-8000-000000001464","jasmine-confections-workshop-08","Halva Heart Sweet Atelier","Cakes & Desserts","Custom Sweets & Confectionery","Modern minimalist sweet atelier with festive Israeli character.","Branded packaging | Custom colors | Nougat pralines | Vegan options","Heart-shaped halva and nougat pieces in clean custom-color packaging, accented by jasmine sprigs on an atelier packing table.","jasmine-confections-workshop-08-primary.webp","public/demo-marketplace/custom-sweets/jasmine-confections-workshop-08-primary.webp"
"30000000-0000-4000-8000-000000001465","willow-party-goods-project-01","Rikud After-Party Goods","Wedding Accessories & Party Extras","Dance Floor Accessories","Minimalist urban after-party supplier with practical kit organization.","Cleanup service | Wedding funwear | Venue distribution | Novelty party hats","A flat lay of burgundy party hats and folded funwear with labeled distribution and cleanup bags on an urban concrete surface.","willow-party-goods-project-01-primary.webp","public/demo-marketplace/dance-floor-accessories/willow-party-goods-project-01-primary.webp"
"30000000-0000-4000-8000-000000001466","kinneret-party-goods-studio-02","Dance Floor Kits by Afterglow Kit","Wedding Accessories & Party Extras","Dance Floor Accessories","Modern luxury dance-floor kit studio with orderly personalization.","Coordinated prop sets | Personalized items | Bulk quantities | Handheld signs","A polished rolling cart holding color-matched prop sets, personalized handheld signs, and neatly organized bulk guest packs.","kinneret-party-goods-studio-02-primary.webp","public/demo-marketplace/dance-floor-accessories/kinneret-party-goods-studio-02-primary.webp"
"30000000-0000-4000-8000-000000001467","jasmine-party-goods-works-03","Dance Basket","Wedding Accessories & Party Extras","Dance Floor Accessories","Romantic Israeli party-accessory brand built around generous display baskets.","Novelty glasses | Venue delivery | Cleanup service | Wedding funwear","A woven basket overflowing with ivory-and-burgundy novelty glasses, hats, and funwear at the edge of a warmly lit dance floor.","jasmine-party-goods-works-03-primary.webp","public/demo-marketplace/dance-floor-accessories/jasmine-party-goods-works-03-primary.webp"
"30000000-0000-4000-8000-000000001468","dune-party-goods-and-co-04","Midnight Extras Dance Floor Accessories","Wedding Accessories & Party Extras","Dance Floor Accessories","Romantic late-night accessory brand with warm outdoor-party styling.","Novelty party hats | Display baskets | Coordinated prop sets | Personalized items","A midnight entrance display of personalized hats and dance props in woven baskets beneath warm string lights.","dune-party-goods-and-co-04-primary.webp","public/demo-marketplace/dance-floor-accessories/dune-party-goods-and-co-04-primary.webp"
"30000000-0000-4000-8000-000000001469","grove-party-goods-workshop-05","Floor Fizz Wedding Funwear","Wedding Accessories & Party Extras","Dance Floor Accessories","Crisp urban funwear workshop with graphic color coordination.","Handheld signs | Custom color sets | Novelty glasses | Venue delivery","A clean accessory wall of color-matched novelty glasses and witty handheld signs, with compact delivery cases below.","grove-party-goods-workshop-05-primary.webp","public/demo-marketplace/dance-floor-accessories/grove-party-goods-workshop-05-primary.webp"
"30000000-0000-4000-8000-000000001470","alma-party-goods-atelier-06","Hora Supply Dance Floor Extras","Wedding Accessories & Party Extras","Dance Floor Accessories","Classic luxury party supplier tailored to energetic Israeli hora celebrations.","Wedding funwear | Venue distribution | Novelty party hats | Display baskets","A hora-ready accessory station with coordinated hats, refined funwear, and prop baskets arranged around an empty dance floor.","alma-party-goods-atelier-06-primary.webp","public/demo-marketplace/dance-floor-accessories/alma-party-goods-atelier-06-primary.webp"
"30000000-0000-4000-8000-000000001471","cedar-party-goods-collective-07","Ritmo Party Goods","Wedding Accessories & Party Extras","Dance Floor Accessories","Bold luxury party-goods brand with rhythmic, coordinated displays.","Personalized items | Bulk quantities | Handheld signs | Custom color sets","Personalized handheld signs arranged in a rhythmic fan pattern beside matching bulk guest packs on a polished bar.","cedar-party-goods-collective-07-primary.webp","public/demo-marketplace/dance-floor-accessories/cedar-party-goods-collective-07-primary.webp"
"30000000-0000-4000-8000-000000001472","luna-party-goods-house-08","Last Song Props Party Accessory Studio","Wedding Accessories & Party Extras","Dance Floor Accessories","Romantic minimalist studio focused on understated late-night party details.","Venue delivery | Cleanup service | Wedding funwear | Venue distribution","An intimate last-song accessory table with minimalist hats and funwear, labeled distribution envelopes, and tidy cleanup bags.","luna-party-goods-house-08-primary.webp","public/demo-marketplace/dance-floor-accessories/luna-party-goods-house-08-primary.webp"
"30000000-0000-4000-8000-000000001473","alma-glow-and-co-01","Luma Loop Glow Accessories","Wedding Accessories & Party Extras","Glow & Light-Up Accessories","Minimalist glow brand centered on refined loops and warm light.","Glow bracelets | Custom color packs | Personalized packaging | LED rings","A dark product composition of concentric warm-glowing bracelet loops and LED rings beside personalized ivory packaging.","alma-glow-and-co-01-primary.webp","public/demo-marketplace/glow-accessories/alma-glow-and-co-01-primary.webp"
"30000000-0000-4000-8000-000000001474","cedar-glow-workshop-02","Illuminated Extras by Neon Mazel","Wedding Accessories & Party Extras","Glow & Light-Up Accessories","Urban modern light-up supplier with high-energy bulk-event styling.","Glow necklaces | Bulk kits | Venue distribution | Light-up foam sticks","A neon-lit packing bench with glow necklaces and foam sticks, plus a visible battery-check tray and labeled bulk kits.","cedar-glow-workshop-02-primary.webp","public/demo-marketplace/glow-accessories/cedar-glow-workshop-02-primary.webp"
"30000000-0000-4000-8000-000000001475","luna-glow-atelier-03","Glowline Israel","Wedding Accessories & Party Extras","Glow & Light-Up Accessories","Luxury Israeli glow atelier using restrained warm-white illumination.","Illuminated glasses | Venue delivery | Glow bracelets | Custom color packs","A polished dance-floor bar displaying warm-white illuminated glasses, bracelets, and LED rings in coordinated gold-toned trays.","luna-glow-atelier-03-primary.webp","public/demo-marketplace/glow-accessories/luna-glow-atelier-03-primary.webp"
"30000000-0000-4000-8000-000000001476","noya-glow-collective-04","Radiant Wrist Light-Up Goods","Wedding Accessories & Party Extras","Glow & Light-Up Accessories","Minimalist wearable-light brand focused on refined wrist accessories.","LED rings | Display setup | Glow necklaces | Bulk kits","A close-up of elegant wrists wearing glow bracelets and LED rings beside a sparse display of necklaces and guest kits.","noya-glow-collective-04-primary.webp","public/demo-marketplace/glow-accessories/noya-glow-collective-04-primary.webp"
"30000000-0000-4000-8000-000000001477","olive-glow-house-05","Liel Lights Night Accessories","Wedding Accessories & Party Extras","Glow & Light-Up Accessories","Energetic urban night-accessory supplier with practical event preparation.","Light-up foam sticks | Battery checks | Illuminated glasses | Venue delivery","Light-up foam sticks and glasses staged in olive-toned delivery crates while an organized battery-test station glows behind them.","olive-glow-house-05-primary.webp","public/demo-marketplace/glow-accessories/olive-glow-house-05-primary.webp"
"30000000-0000-4000-8000-000000001478","dawn-glow-project-06","Night Spark After-Dark Goods","Wedding Accessories & Party Extras","Glow & Light-Up Accessories","Luxury modern after-dark brand with graduated color coordination.","Custom color packs | Personalized packaging | LED rings | Display setup","A dawn-to-night gradient display wall of color-matched LED rings and necklaces in refined personalized packs.","dawn-glow-project-06-primary.webp","public/demo-marketplace/glow-accessories/dawn-glow-project-06-primary.webp"
"30000000-0000-4000-8000-000000001479","carmel-glow-studio-07","Halo Extras Glow Bar","Wedding Accessories & Party Extras","Glow & Light-Up Accessories","Minimalist party supplier built around a circular glow-bar presentation.","Bulk kits | Venue distribution | Light-up foam sticks | Battery checks","A circular halo-shaped glow bar stocked with warm-white foam sticks and numbered bulk distribution kits against a dark background.","carmel-glow-studio-07-primary.webp","public/demo-marketplace/glow-accessories/carmel-glow-studio-07-primary.webp"
"30000000-0000-4000-8000-000000001480","arava-glow-works-08","Electric Joy Light-Up Studio","Wedding Accessories & Party Extras","Glow & Light-Up Accessories","Modern urban light-up studio with bold modular product presentation.","Venue delivery | Glow bracelets | Custom color packs | Personalized packaging","Modular trays of amber-lit bracelets and LED rings with bold custom packages beside an empty dance floor, avoiding blue or purple light.","arava-glow-works-08-primary.webp","public/demo-marketplace/glow-accessories/arava-glow-works-08-primary.webp"
"30000000-0000-4000-8000-000000001481","dawn-guest-comfort-collective-01","Soft Step Comfort Accessories","Wedding Accessories & Party Extras","Guest Comfort Accessories","Elegant party comfort supplier with discreet, coordinated presentation.","Handheld fans | Display baskets | Custom color sets | Stain-removal kits","An elegant guest-comfort station with handheld fans and discreet stain kits arranged in color-matched woven baskets.","dawn-guest-comfort-collective-01-primary.webp","public/demo-marketplace/guest-comfort-accessories/dawn-guest-comfort-collective-01-primary.webp"
"30000000-0000-4000-8000-000000001482","carmel-guest-comfort-house-02","Comfort Station by Fan & Favor","Wedding Accessories & Party Extras","Guest Comfort Accessories","Romantic luxury comfort station suited to warm Israeli celebrations.","Comfort baskets | Venue delivery | Wedding flip-flops | Size assortment","A luxury flip-flop station with clearly labeled sizes and compact comfort-favor baskets at an outdoor Israeli venue.","carmel-guest-comfort-house-02-primary.webp","public/demo-marketplace/guest-comfort-accessories/carmel-guest-comfort-house-02-primary.webp"
"30000000-0000-4000-8000-000000001483","arava-guest-comfort-project-03","Barefoot Basket","Wedding Accessories & Party Extras","Guest Comfort Accessories","Rustic minimalist guest-relief brand with natural basket styling.","Heel protectors | Bulk quantities | Handheld fans | Display baskets","A rustic basket of neatly separated heel protectors and handheld fans on a minimalist welcome table near the dance area.","arava-guest-comfort-project-03-primary.webp","public/demo-marketplace/guest-comfort-accessories/arava-guest-comfort-project-03-primary.webp"
"30000000-0000-4000-8000-000000001484","lark-guest-comfort-studio-04","Breeze Booth Wedding Comfort Kits","Wedding Accessories & Party Extras","Guest Comfort Accessories","Rustic minimalist comfort-booth service for warm-weather weddings.","Stain-removal kits | Warm-weather kits | Comfort baskets | Venue delivery","A shaded outdoor booth with linen baskets of compact warm-weather and stain-removal kits, ready for guest self-service.","lark-guest-comfort-studio-04-primary.webp","public/demo-marketplace/guest-comfort-accessories/lark-guest-comfort-studio-04-primary.webp"
"30000000-0000-4000-8000-000000001485","pomegranate-guest-comfort-works-05","Comfy Celebration Wedding Extras","Wedding Accessories & Party Extras","Guest Comfort Accessories","Elegant Israeli late-night comfort supplier with party-ready organization.","Size assortment | Late-night restock | Heel protectors | Bulk quantities","A late-night station with labeled heel protectors and handheld fans organized in elegant bulk guest compartments.","pomegranate-guest-comfort-works-05-primary.webp","public/demo-marketplace/guest-comfort-accessories/pomegranate-guest-comfort-works-05-primary.webp"
"30000000-0000-4000-8000-000000001486","velvet-guest-comfort-and-co-06","Guest Ease Guest Comfort","Wedding Accessories & Party Extras","Guest Comfort Accessories","Romantic luxury guest-care brand with a soft modern palette.","Comfort baskets | Custom color sets | Stain-removal kits | Warm-weather kits","A modern console with coordinated velvet-toned baskets, stain-removal kits, and warm-weather care packs in a romantic palette.","velvet-guest-comfort-and-co-06-primary.webp","public/demo-marketplace/guest-comfort-accessories/velvet-guest-comfort-and-co-06-primary.webp"
"30000000-0000-4000-8000-000000001487","mosaic-guest-comfort-workshop-07","Summer Solace Guest Essentials","Wedding Accessories & Party Extras","Guest Comfort Accessories","Sleek modern summer-comfort supplier focused on practical footwear relief.","Venue delivery | Wedding flip-flops | Size assortment | Late-night restock","A clean wall of neutral wedding flip-flops with exact size labels and an understated late-night self-service sign.","mosaic-guest-comfort-workshop-07-primary.webp","public/demo-marketplace/guest-comfort-accessories/mosaic-guest-comfort-workshop-07-primary.webp"
"30000000-0000-4000-8000-000000001488","golden-guest-comfort-atelier-08","Rest & Revel Guest Care Goods","Wedding Accessories & Party Extras","Guest Comfort Accessories","Rustic elegant guest-care atelier with golden-hour warmth.","Bulk quantities | Handheld fans | Display baskets | Custom color sets","A golden-hour care table with handheld fans, stain kits, and color-matched baskets arranged in orderly bulk rows.","golden-guest-comfort-atelier-08-primary.webp","public/demo-marketplace/guest-comfort-accessories/golden-guest-comfort-atelier-08-primary.webp"
"30000000-0000-4000-8000-000000001489","velvet-extras-studio-01","Mazel Makers Wedding Extras","Wedding Accessories & Party Extras","Party Props & Giveaways","Modern maker studio combining personalized props and small guest gifts.","Dance-floor props | Venue delivery | Personalized items | Small guest gifts","A modern worktable with personalized dance props and small burgundy gift boxes neatly prepared for venue delivery.","velvet-extras-studio-01-primary.webp","public/demo-marketplace/party-props-giveaways/velvet-extras-studio-01-primary.webp"
"30000000-0000-4000-8000-000000001490","mosaic-extras-works-02","Party Props by Cheers Cart","Wedding Accessories & Party Extras","Party Props & Giveaways","Vintage urban prop supplier with a mobile celebration-cart identity.","Novelty party hats | Display setup | Photo props | Themed packs","A vintage drinks-cart-style display loaded with novelty hats, photo props, and boxed take-home themed packs.","mosaic-extras-works-02-primary.webp","public/demo-marketplace/party-props-giveaways/mosaic-extras-works-02-primary.webp"
"30000000-0000-4000-8000-000000001491","golden-extras-and-co-03","Funveil","Wedding Accessories & Party Extras","Party Props & Giveaways","Playful yet refined party brand using ribbon and veil-inspired details.","Favor tags | Bulk quantities | Dance-floor props | Venue delivery","Veil-inspired ribbon props mixed with personalized, favor-tagged giveaways in a polished urban wedding setup.","golden-extras-and-co-03-primary.webp","public/demo-marketplace/party-props-giveaways/golden-extras-and-co-03-primary.webp"
"30000000-0000-4000-8000-000000001492","quiet-extras-workshop-04","Party Parade Goods Guest Giveaways","Wedding Accessories & Party Extras","Party Props & Giveaways","Luxury party-goods workshop with orderly, color-led display design.","Small guest gifts | Custom color sets | Novelty party hats | Display setup","A parade-like row of color-coordinated novelty hats and small guest gifts arranged on tiered ivory plinths.","quiet-extras-workshop-04-primary.webp","public/demo-marketplace/party-props-giveaways/quiet-extras-workshop-04-primary.webp"
"30000000-0000-4000-8000-000000001493","wild-extras-atelier-05","Toast Tokens Wedding Giveaways","Wedding Accessories & Party Extras","Party Props & Giveaways","Classic vintage favor atelier centered on small ceremonial keepsakes.","Themed packs | Take-home packaging | Favor tags | Bulk quantities","Classic toast-token favors with custom tags and themed packs in vintage take-home boxes, accented by a few coordinated dance props.","wild-extras-atelier-05-primary.webp","public/demo-marketplace/party-props-giveaways/wild-extras-atelier-05-primary.webp"
